주문일자,상품명,카테고리,단가,수량
2026-01-01,크루아상,베이커리,4500,1
2026-01-01,스콘,디저트,4000,3
2026-01-01,크로플,디저트,"6,000",2
2026-01-01,크루아상,베이커리,4500,3
2026-01-01,샌드위치,베이커리,7000,1
2026-01-02,아메리카노,음료,4500,1
2026-01-02,카푸치노,음료,5000,2
2026-01-03,크로플,디저트,6000,3
2026-01-03,샌드위치,베이커리,7000,1
2026-01-03,치즈케이크,디저트,6500,1
2026-01-04,아메리카노,음료,4500,1
2026-01-05,스콘,디저트,4000,2
2026-01-05,콜드브루,음료,5500,1
2026-01-05,콜드브루,음료,5500,1
2026-01-06,크로플,디저트,6000,1
2026-01-06,크루아상,베이커리,4500,1
2026-01-07,카페라떼,음료,5000,3
2026-01-08,콜드브루,음료,5500,1
2026-01-08,치즈케이크,디저트,6500,1
2026-01-08,아메리카노,음료,4500,1
2026-01-09,치즈케이크,디저트,6500,2
2026-01-09,콜드브루,음료,5500,2
2026-01-09,스콘,디저트,4000,1
2026-01-09,아메리카노,음료,4500,1
2026-01-09,휘낭시에,디저트,3500,1
2026-01-09,크로플,디저트,6000,1
2026-01-09,아메리카노,음료,4500,1
2026-01-09,카푸치노,음료,5000,3
2026-01-10,콜드브루,음료,5500,1
2026-01-10,콜드브루,음료,5500,3
2026-01-11,휘낭시에,디저트,3500,2
2026-01-12,크루아상,베이커리,4500,2
2026-01-12,카페라떼,음료,5000,2
2026-01-13,크로플,디저트,"6,000",2
2026-01-14,샌드위치,베이커리,7000,2
2026-01-14,콜드브루,음료,5500,2
2026-01-15,카푸치노,음료,5000,1
2026-01-15,휘낭시에,디저트,3500,2
2026-01-16,카푸치노,음료,5000,1
2026-01-16,콜드브루,음료,5500,1
2026-01-16,샌드위치,베이커리,7000,1
2026-01-16,아메리카노,음료,4500,1
2026-01-16,크로플,디저트,6000,1
2026-01-18,카페라떼,음료,5000,3
2026-01-18,아메리카노,음료,4500,2
2026-01-19,카푸치노,음료,5000,2
2026-01-19,콜드브루,음료,5500,2
2026-01-20,크로플,디저트,6000,1
2026-01-21,크루아상,베이커리,4500,1
2026-01-21,스콘,디저트,4000,2
2026-01-22,휘낭시에,디저트,3500,1
2026-01-22,아메리카노,음료,4500,1
2026-01-22,크로플,디저트,6000,2
2026-01-22,크루아상,베이커리,4500,3
2026-01-22,아메리카노,음료,4500,1
2026-01-23,아메리카노,음료,4500,2
2026-01-23,크루아상,베이커리,4500,2
2026-01-23,크루아상,베이커리,4500,2
2026-01-23,치즈케이크,디저트,6500,2
2026-01-24,크루아상,베이커리,4500,2
2026-01-24,휘낭시에,디저트,3500,3
2026-01-25,샌드위치,베이커리,7000,2
2026-01-25,샌드위치,베이커리,7000,1
2026-01-25,스콘,디저트,4000,2
2026-01-26,치즈케이크,디저트,6500,2
2026-01-26,치즈케이크,디저트,"6,500",1
2026-01-26,크루아상,베이커리,4500,1
2026-01-26,휘낭시에,디저트,3500,1
2026-01-26,휘낭시에,디저트,3500,1
2026-01-27,크루아상,베이커리,4500,1
2026-01-27,카페라떼,음료,5000,1
2026-01-27,치즈케이크,디저트,6500,2
2026-01-27,아메리카노,음료,4500,2
2026-01-27,콜드브루,음료,5500,3
2026-01-27,카페라떼,음료,5000,2
2026-01-28,크루아상,베이커리,4500,1
2026-01-28,휘낭시에,디저트,3500,1
2026-01-28,카푸치노,음료,5000,1
2026-01-29,바닐라라떼,음료,5500,1
2026-01-29,카페라떼,음료,5000,1
2026-01-29,카페라떼,음료,5000,3
2026-01-29,카푸치노,음료,5000,1
2026-01-30,바닐라라떼,음료,5500,3
2026-01-31,크루아상,베이커리,4500,1
2026-01-31,샌드위치,베이커리,7000,1
2026-01-31,아메리카노,음료,4500,1
2026-01-31,콜드브루,음료,5500,1
2026-01-31,치즈케이크,디저트,6500,1
2026-02-01,카푸치노,음료,5000,2
2026-02-01,크로플,디저트,6000,2
2026-02-01,바닐라라떼,음료,5500,1
2026-02-03,아메리카노,음료,4500,1
2026-02-04,아메리카노,음료,4500,3
2026-02-05,휘낭시에,디저트,3500,2
2026-02-05,스콘,디저트,4000,3
2026-02-06,치즈케이크,디저트,6500,1
